电影名称,电影地址,电影评分,电影类型,上映日期,国家地区
海边的曼彻斯特,https://movie.douban.com//subject//25980443//,8.6,"['剧情', '家庭']",['(2016)'],['美国']
怪兽电力公司,https://movie.douban.com//subject//1291579//,8.6,"['喜剧', '动画', '儿童', '奇幻', '冒险']",['(2001)'],['美国']
唐伯虎点秋香,https://movie.douban.com//subject//1306249//,8.4,"['喜剧', '爱情', '古装']",['(1993)'],['香港']
完美陌生人,https://movie.douban.com//subject//26614893//,8.6,"['剧情', '喜剧']",['(2016)'],['意大利']
头脑特工队,https://movie.douban.com//subject//10533913//,8.7,"['喜剧', '动画', '冒险']",['(2015)'],['美国']
海街日记,https://movie.douban.com//subject//25895901//,8.7,"['剧情', '家庭']",['(2015)'],['日本']
海蒂和爷爷,https://movie.douban.com//subject//25958717//,9.0,"['剧情', '家庭', '冒险']",['(2015)'],['德国 / 瑞士 / 南非']
完美的世界,https://movie.douban.com//subject//1300992//,9.0,"['å‰§æƒ…', 'çŠ¯ç½ª']",['(1993)'],[]
魂断蓝桥,https://movie.douban.com//subject//1293964//,8.8,"['剧情', '爱情', '战争']",['(1940)'],['美国']
至暗时刻,https://movie.douban.com//subject//26761416//,8.5,"['剧情', '传记', '历史']",['(2017)'],['英国 / 美国']
侧耳倾听,https://movie.douban.com//subject//1297052//,8.8,"['剧情', '爱情', '动画']",['(1995)'],['日本']
致命ID,https://movie.douban.com//subject//1297192//,8.7,"['剧情', '悬疑', '惊悚']",['(2003)'],['美国']
罗生门,https://movie.douban.com//subject//1291879//,8.7,"['剧情', '悬疑', '犯罪']",['(1950)'],['日本']
可可西里,https://movie.douban.com//subject//1308857//,8.7,"['剧情', '犯罪']",['(2004)'],['中国大陆 / 香港']
驯龙高手,https://movie.douban.com//subject//2353023//,8.7,"['喜剧', '动画', '奇幻', '冒险']",['(2010)'],['美国']
哪吒闹海,https://movie.douban.com//subject//1307315//,8.9,"['动画', '奇幻', '冒险']",['(1979)'],['中国大陆']
岁月神偷,https://movie.douban.com//subject//3792799//,8.6,"['剧情', '家庭']",['(2010)'],['香港 / 中国大陆']
断背山,https://movie.douban.com//subject//1418834//,8.7,"['剧情', '爱情', '同性', '家庭']",['(2005)'],['美国 / 加拿大']
惊魂记,https://movie.douban.com//subject//1293181//,8.9,"['æ‚¬ç–‘', 'æƒŠæ‚š', 'æ��æ€–']",['(1960)'],[]
模仿游戏,https://movie.douban.com//subject//10463953//,8.6,"['剧情', '同性', '传记', '战争']",['(2014)'],['英国 / 美国']
加勒比海盗,https://movie.douban.com//subject//1298070//,8.6,"['动作', '奇幻', '冒险']",['(2003)'],['美国']
爆裂鼓手,https://movie.douban.com//subject//25773932//,8.6,"['剧情', '音乐']",['(2014)'],['美国']
爱在黎明破晓前,https://movie.douban.com//subject//1296339//,8.7,"['剧情', '爱情']",['(1995)'],['美国 / 奥地利 / 瑞士']
无敌破坏王,https://movie.douban.com//subject//6534248//,8.7,"['喜剧', '动画', '奇幻', '冒险']",['(2012)'],['美国']
上帝之城,https://movie.douban.com//subject//1292208//,8.9,"['剧情', '犯罪']",['(2002)'],['巴西 / 法国']
哈利·波特与死亡圣器(下),https://movie.douban.com//subject//3011235//,8.7,"['剧情', '悬疑', '奇幻', '冒险']",['(2011)'],['美国 / 英国']
射雕英雄传之东成西就,https://movie.douban.com//subject//1316510//,8.7,"['喜剧', '古装']",['(1993)'],['香港']
黄金三镖客,https://movie.douban.com//subject//1401118//,9.1,"['西部', '冒险']",['(1966)'],['意大利 / 西班牙 / 西德']
黑天鹅,https://movie.douban.com//subject//1978709//,8.5,"['剧情', '惊悚']",['(2010)'],['美国']
甜蜜蜜,https://movie.douban.com//subject//1305164//,8.8,"['剧情', '爱情']",['(1996)'],['香港']
芙蓉镇,https://movie.douban.com//subject//1297880//,9.0,"['剧情', '爱情']",['(1987)'],['中国大陆']
记忆碎片,https://movie.douban.com//subject//1304447//,8.5,"['剧情', '悬疑', '惊悚', '犯罪']",['(2000)'],['美国']
风之谷,https://movie.douban.com//subject//1291585//,8.8,"['动画', '奇幻', '冒险']",['(1984)'],['日本']
爱在日落黄昏时,https://movie.douban.com//subject//1291990//,8.8,"['剧情', '爱情']",['(2004)'],['美国']
茶馆,https://movie.douban.com//subject//1461403//,9.4,"['剧情', '历史']",['(1982)'],['中国大陆']
未麻的部屋,https://movie.douban.com//subject//1395091//,8.8,"['动画', '惊悚', '奇幻']",['(1997)'],['日本']
喜宴,https://movie.douban.com//subject//1303037//,8.8,"['剧情', '喜剧', '爱情', '同性', '家庭']",['(1993)'],['台湾 / 美国']
一次别离,https://movie.douban.com//subject//5964718//,8.7,"['å‰§æƒ…', 'å®¶åº\xad']",['(2011)'],[]
小萝莉的猴神大叔,https://movie.douban.com//subject//26393561//,8.5,"['剧情', '喜剧', '动作']",['(2015)'],['印度']
教父3,https://movie.douban.com//subject//1294240//,8.8,"['剧情', '犯罪']",['(1990)'],['美国']
大佛普拉斯,https://movie.douban.com//subject//27059130//,8.6,"['剧情', '喜剧']",['(2017)'],['台湾']
王牌特工：特工学院,https://movie.douban.com//subject//24405378//,8.4,"['喜剧', '动作', '冒险']",['(2015)'],['英国 / 美国']
釜山行,https://movie.douban.com//subject//25986180//,8.3,"['动作', '惊悚', '灾难']",['(2016)'],['韩国']
爱乐之城,https://movie.douban.com//subject//25934014//,8.3,"['å‰§æƒ…', 'çˆ±æƒ…', 'æ\xadŒèˆ�']",['(2016)'],[]
虎口脱险,https://movie.douban.com//subject//1296909//,8.9,"['喜剧', '战争']",['(1966)'],['法国 / 英国']
神偷奶爸,https://movie.douban.com//subject//3287562//,8.5,"['喜剧', '动画', '冒险']",['(2010)'],['美国 / 法国']
火星救援,https://movie.douban.com//subject//25864085//,8.4,"['剧情', '科幻', '冒险']",['(2015)'],['美国 / 英国']
我爱你,https://movie.douban.com//subject//5908478//,9.0,"['剧情', '爱情']",['(2011)'],['韩国']
雨中曲,https://movie.douban.com//subject//1293460//,9.0,"['喜剧', '爱情', '歌舞']",['(1952)'],['美国']
借东西的小人阿莉埃蒂,https://movie.douban.com//subject//4202302//,8.7,"['动画', '奇幻', '冒险']",['(2010)'],['日本']
谍影重重2,https://movie.douban.com//subject//1308767//,8.6,"['动作', '悬疑', '惊悚']",['(2004)'],['美国 / 德国']
